GEO_ID,NAME,S1701_C03_008E
34001,"Atlantic County, New Jersey",11.1
34003,"Bergen County, New Jersey",5.5
34005,"Burlington County, New Jersey",5.3
34007,"Camden County, New Jersey",9.9
34009,"Cape May County, New Jersey",9.6
34011,"Cumberland County, New Jersey",13.8
34013,"Essex County, New Jersey",12.7
34015,"Gloucester County, New Jersey",5.3
34017,"Hudson County, New Jersey",11.9
34019,"Hunterdon County, New Jersey",4.2
34021,"Mercer County, New Jersey",9.3
34023,"Middlesex County, New Jersey",6
34025,"Monmouth County, New Jersey",5.6
34027,"Morris County, New Jersey",3.7
34029,"Ocean County, New Jersey",8
34031,"Passaic County, New Jersey",12.3
34033,"Salem County, New Jersey",9.9
34035,"Somerset County, New Jersey",4.2
34037,"Sussex County, New Jersey",4.6
34039,"Union County, New Jersey",7.4
34041,"Warren County, New Jersey",6.5
